Timestamp,Machine_ID,Operator_ID,Operator_Experience_Months,Shift_Type,Engine_Hours,Fuel_Used_L,Load_Cycles,Load_Weight_tons,Max_Load_Capacity_tons,Load_Utilization_pct,Idling_Time_min,Operator_Shift_Hours,Continuous_Driving_min,Machine_Speed_kmph,Harsh_Braking_Events,Harsh_Acceleration_Events,Ground_Slope_deg,Machine_Tilt_deg,Weather_Condition,Visibility_m,Seatbelt_Status,Proximity_Hazard,Min_Obstacle_Distance_m,Safety_Alert_Triggered
2025-01-01 00:00:00,EXC100,OP1013,89,Morning,1466.5,3.34,1,6.84,20,34.2,20.7,9.37,138.8,15.3,2,5,7.5,9.1,Clear,166.0,Fastened,No,27.84,Yes
2025-01-01 01:21:00,EXC103,OP1007,188,Morning,841.1,1.1,9,14.7,30,49.0,26.8,2.65,123.0,36.8,2,5,7.7,2.8,Heavy_Rain,17.1,Fastened,Yes,3.69,Yes
2025-01-01 01:47:00,EXC107,OP1003,234,Morning,1449.0,13.64,10,16.55,40,41.4,1.6,4.4,46.5,33.9,5,2,7.6,3.0,Clear,155.5,Unfastened,No,24.77,No
2025-01-01 01:48:00,EXC103,OP1008,123,Night,842.6,8.18,12,15.8,30,52.7,88.7,9.34,11.7,12.9,3,1,5.8,0.0,Cloudy,93.4,Fastened,No,18.22,No
2025-01-01 02:14:00,EXC104,OP1010,201,Evening,1332.1,14.27,4,14.82,30,49.4,4.4,10.06,91.6,28.1,0,4,5.9,7.5,Clear,79.9,Unfastened,No,21.78,Yes
2025-01-01 02:27:00,EXC103,OP1000,49,Morning,843.1,10.8,20,6.05,30,20.2,47.5,0.49,38.6,30.5,0,2,8.7,7.2,Cloudy,87.4,Unfastened,No,47.08,No
2025-01-01 02:46:00,EXC106,OP1006,172,Evening,1742.9,3.43,18,13.69,20,68.5,36.1,5.62,95.1,10.6,3,1,1.4,0.0,Fog,9.8,Fastened,No,6.07,Yes
2025-01-01 03:33:00,EXC100,OP1006,172,Evening,1467.0,4.46,8,8.26,20,41.3,74.7,1.34,104.0,6.4,3,0,5.6,3.5,Clear,144.8,Fastened,No,21.79,No
2025-01-01 04:00:00,EXC104,OP1003,234,Morning,1332.9,12.63,8,15.62,30,52.1,39.4,2.35,155.4,2.3,2,3,7.0,5.9,Clear,144.1,Fastened,Yes,5.34,Yes
2025-01-01 04:07:00,EXC102,OP1001,23,Evening,1165.9,7.41,17,25.63,40,64.1,70.8,6.99,97.5,25.8,1,2,6.8,2.3,Clear,135.2,Unfastened,No,45.91,No
2025-01-01 04:16:00,EXC106,OP1011,108,Morning,1743.4,9.89,28,11.89,20,59.4,65.5,4.53,176.0,27.7,3,2,8.1,9.0,Fog,14.3,Fastened,No,44.31,No
2025-01-01 04:17:00,EXC106,OP1014,44,Evening,1744.7,8.57,29,16.26,20,81.3,45.1,2.12,74.2,25.4,1,2,1.7,1.1,Clear,137.8,Fastened,No,20.94,No
2025-01-01 04:32:00,EXC101,OP1004,176,Morning,1734.4,9.24,28,19.6,50,39.2,22.6,6.65,57.3,22.2,2,1,3.9,0.0,Cloudy,90.4,Fastened,No,49.45,No
2025-01-01 04:36:00,EXC101,OP1014,44,Evening,1734.7,10.7,10,47.18,50,94.4,23.5,8.63,133.4,13.1,4,3,4.9,5.3,Cloudy,77.8,Fastened,No,17.89,Yes
2025-01-01 05:19:00,EXC104,OP1004,176,Night,1334.0,9.58,7,13.46,30,44.9,11.5,6.0,134.3,18.6,1,5,4.2,1.8,Cloudy,94.3,Fastened,No,8.76,No
2025-01-01 05:23:00,EXC100,OP1004,176,Evening,1467.1,6.04,23,17.9,20,89.5,63.6,7.91,96.4,36.4,5,5,0.3,0.5,Cloudy,135.1,Fastened,No,18.73,No
2025-01-01 05:34:00,EXC102,OP1010,201,Night,1167.3,14.73,12,21.82,40,54.6,4.6,11.16,77.1,26.1,3,2,4.5,0.3,Rain,40.2,Fastened,No,5.21,No
2025-01-01 05:49:00,EXC101,OP1003,234,Morning,1735.1,9.72,29,32.33,50,64.7,53.8,3.01,167.9,16.6,2,2,7.3,3.5,Cloudy,102.7,Fastened,No,35.5,No
2025-01-01 06:37:00,EXC101,OP1004,176,Evening,1735.4,12.4,20,28.85,50,57.7,76.4,1.05,7.7,25.5,1,4,6.5,4.0,Rain,95.3,Unfastened,No,45.64,No
2025-01-01 06:40:00,EXC106,OP1014,44,Night,1745.7,13.0,5,7.51,20,37.5,8.5,10.37,10.0,13.6,5,3,4.5,0.0,Fog,18.7,Unfastened,No,6.17,Yes
2025-01-01 07:02:00,EXC104,OP1003,234,Morning,1335.2,10.94,0,10.03,30,33.4,56.3,2.34,47.5,37.9,2,0,3.5,8.8,Clear,333.2,Unfastened,No,31.6,No
2025-01-01 07:10:00,EXC105,OP1012,120,Evening,596.5,2.17,6,37.21,50,74.4,37.0,10.08,82.4,37.2,7,4,11.5,3.0,Clear,255.5,Fastened,No,45.9,Yes
2025-01-01 07:10:00,EXC106,OP1000,49,Evening,1746.0,14.73,3,9.94,20,49.7,48.0,2.73,80.8,39.4,1,2,9.1,10.9,Fog,17.6,Fastened,No,8.46,Yes
2025-01-01 08:09:00,EXC104,OP1006,172,Morning,1335.8,1.91,3,33.29,30,111.0,4.0,10.31,13.9,21.2,3,1,2.6,3.6,Clear,232.3,Fastened,No,6.18,No
2025-01-01 08:20:00,EXC102,OP1013,89,Evening,1167.6,14.13,28,15.7,40,39.3,30.0,4.77,130.6,15.1,5,2,2.5,7.0,Heavy_Rain,26.9,Fastened,No,32.4,No
2025-01-01 09:39:00,EXC103,OP1011,108,Morning,843.6,4.63,10,27.58,30,91.9,54.4,7.0,46.0,8.3,2,1,3.6,2.1,Clear,340.6,Unfastened,No,48.81,No
2025-01-01 09:58:00,EXC102,OP1008,123,Morning,1168.0,6.34,16,28.61,40,71.5,61.9,11.71,36.4,15.7,2,2,15.1,12.9,Clear,235.9,Unfastened,No,30.73,No
2025-01-01 10:18:00,EXC104,OP1005,182,Night,1336.4,6.79,14,13.61,30,45.4,60.2,10.2,20.5,37.0,2,2,6.0,7.9,Clear,272.9,Fastened,No,16.66,No
2025-01-01 10:25:00,EXC104,OP1004,176,Evening,1337.9,10.35,28,26.62,30,88.7,21.3,0.76,153.3,23.0,3,1,8.5,3.1,Rain,118.9,Unfastened,No,11.19,Yes
2025-01-01 10:25:00,EXC104,OP1013,89,Evening,1339.2,2.54,29,18.95,30,63.2,60.2,4.47,10.6,38.3,3,1,10.6,8.5,Clear,312.9,Fastened,No,11.23,No
2025-01-01 10:42:00,EXC107,OP1009,31,Evening,1449.6,2.17,22,27.29,40,68.2,84.6,7.99,173.6,37.4,5,3,12.5,10.9,Clear,311.8,Unfastened,No,17.01,Yes
2025-01-01 11:41:00,EXC105,OP1002,126,Evening,597.9,5.89,22,42.92,50,85.8,85.4,5.51,1.5,27.5,2,2,2.9,0.4,Clear,406.7,Fastened,No,14.86,No
2025-01-01 12:19:00,EXC101,OP1001,23,Night,1735.9,1.44,29,19.6,50,39.2,18.4,6.57,165.4,34.8,4,1,1.4,1.7,Clear,268.0,Unfastened,No,14.64,Yes
2025-01-01 12:24:00,EXC105,OP1008,123,Morning,599.0,12.59,11,35.68,50,71.4,66.0,1.96,102.0,26.9,3,2,9.8,6.5,Cloudy,190.3,Fastened,Yes,7.26,Yes
2025-01-01 12:40:00,EXC100,OP1006,172,Morning,1467.5,13.61,26,19.92,20,99.6,33.6,6.64,176.7,4.8,4,2,4.9,0.0,Clear,258.8,Fastened,No,33.61,No
2025-01-01 13:02:00,EXC106,OP1004,176,Morning,1746.7,14.63,9,6.65,20,33.3,50.9,8.03,78.3,17.9,2,3,7.5,8.6,Clear,309.8,Unfastened,No,27.67,No
2025-01-01 13:13:00,EXC104,OP1012,120,Evening,1340.3,8.0,26,16.86,30,56.2,26.5,1.07,149.0,37.7,4,0,1.8,3.8,Clear,224.8,Fastened,No,20.42,No
2025-01-01 13:17:00,EXC101,OP1000,49,Night,1736.9,11.68,19,26.3,50,52.6,71.9,11.25,31.0,30.6,3,2,1.7,2.4,Rain,103.0,Fastened,No,9.97,No
2025-01-01 13:36:00,EXC106,OP1004,176,Night,1747.7,8.72,28,8.3,20,41.5,59.0,7.9,151.9,26.1,0,1,4.8,3.5,Clear,380.2,Fastened,No,23.74,No
2025-01-01 13:36:00,EXC104,OP1011,108,Evening,1340.8,12.35,3,23.34,30,77.8,74.4,6.61,139.3,33.5,4,0,4.3,5.6,Cloudy,230.5,Unfastened,No,44.94,No
2025-01-01 13:37:00,EXC100,OP1013,89,Night,1467.8,9.38,0,9.01,20,45.0,25.1,6.83,43.2,37.9,2,3,1.3,0.0,Clear,222.3,Fastened,No,46.79,No
2025-01-01 13:51:00,EXC102,OP1002,126,Night,1169.2,10.73,28,21.64,40,54.1,57.8,0.46,35.4,37.3,2,2,1.7,7.9,Heavy_Rain,50.2,Fastened,No,5.34,No
