Task_ID,Task_Date,Machine_ID,Operator_ID,Task_Type,Task_Area_sqm,Material_Type,Ground_Condition,Ground_Slope_deg,Site_Distance_km,Weather,Temperature_C,Crew_Size,Operator_Skill,Operator_Experience_Months,Machine_Age_yrs,Machine_Condition,Permit_Setup_Delay_min,Breakdown_Occurred,Estimated_Time_min,Actual_Time_min
T1000,2025-01-01 00:00:00,MCH103,OP2008,Demolition,179.5,Debris,Soft,4.1,23.4,Sunny,22.3,2,Beginner,14,8.5,Fair,7.4,No,275.2,446.2
T1001,2025-01-01 03:21:00,MCH108,OP2018,Material_Loading,254.5,Rock,Soft,2.8,30.8,Windy,18.5,2,Beginner,14,2.0,Fair,6.5,No,163.9,368.2
T1002,2025-01-01 03:40:00,MCH102,OP2008,Material_Loading,270.3,Mixed,Normal,6.5,28.8,Rainy,27.0,5,Beginner,14,10.4,Fair,10.4,No,167.0,320.8
T1003,2025-01-01 04:09:00,MCH103,OP2015,Material_Loading,244.0,Clay,Hard,2.3,38.1,Rainy,25.0,4,Beginner,10,8.5,Fair,19.9,No,149.3,356.0
T1004,2025-01-01 05:20:00,MCH103,OP2010,Paving,297.8,Concrete,Normal,4.4,1.8,Cloudy,17.3,6,Expert,148,8.5,Fair,14.2,No,207.7,232.4
T1005,2025-01-01 06:24:00,MCH100,OP2007,Grading,117.0,Mixed,Soft,3.2,17.2,Sunny,23.7,3,Beginner,4,9.4,Good,9.5,No,93.1,171.9
T1006,2025-01-01 06:25:00,MCH104,OP2013,Grading,98.8,Rock,Normal,2.4,25.9,Sunny,24.7,5,Intermediate,36,1.6,Good,8.1,No,86.1,143.8
T1007,2025-01-01 06:55:00,MCH103,OP2019,Trenching,319.8,Clay,Normal,10.6,26.5,Windy,32.2,7,Intermediate,32,8.5,Fair,14.0,No,317.6,490.4
T1008,2025-01-01 07:59:00,MCH101,OP2018,Earth_Excavation,46.5,Debris,Soft,0.8,33.6,Sunny,24.7,4,Beginner,14,5.5,Poor,2.3,No,51.9,148.6
T1009,2025-01-01 08:04:00,MCH100,OP2016,Compaction,253.5,Soil,Hard,5.1,3.4,Sunny,29.3,7,Beginner,10,9.4,Good,7.1,No,131.6,177.3
T1010,2025-01-01 08:44:00,MCH106,OP2001,Demolition,47.0,Clay,Hard,8.5,14.0,Sunny,24.7,8,Intermediate,44,9.3,Fair,17.5,No,66.7,123.9
T1011,2025-01-01 09:56:00,MCH107,OP2019,Demolition,298.3,Soil,Hard,2.0,16.0,Windy,24.7,6,Intermediate,32,9.5,Good,15.7,No,438.2,567.9
T1012,2025-01-01 10:01:00,MCH106,OP2008,Trenching,344.7,Clay,Soft,6.6,6.8,Sunny,28.2,1,Beginner,14,9.3,Fair,16.9,Yes,347.0,564.4
T1013,2025-01-01 10:45:00,MCH105,OP2019,Compaction,127.6,Debris,Hard,2.0,17.5,Windy,29.6,1,Intermediate,32,11.7,Good,20.0,No,60.1,130.9
T1014,2025-01-01 10:46:00,MCH107,OP2017,Earth_Excavation,173.8,Debris,Normal,11.3,14.9,Cloudy,25.8,7,Intermediate,21,9.5,Good,17.9,No,206.7,291.6
T1015,2025-01-01 12:30:00,MCH109,OP2012,Trenching,44.8,Soil,Soft,11.8,16.7,Sunny,13.8,8,Intermediate,23,5.7,Fair,13.8,No,47.5,94.8
T1016,2025-01-01 14:57:00,MCH105,OP2014,Earth_Excavation,67.7,Mixed,Normal,3.8,21.3,Rainy,25.2,5,Intermediate,37,11.7,Good,16.4,Yes,88.2,242.8
T1017,2025-01-01 15:28:00,MCH107,OP2007,Demolition,229.3,Concrete,Normal,1.7,22.5,Sunny,37.7,4,Beginner,4,9.5,Good,18.4,No,347.5,612.6
T1018,2025-01-01 16:03:00,MCH108,OP2000,Compaction,46.7,Clay,Soft,4.7,6.0,Sunny,19.3,1,Expert,85,2.0,Fair,4.7,No,19.6,31.4
